rank of	rank:80,80,;
and were	and:91,;
develop to	develop:39,67,;
are effectively	are:71,;
experiments was	experiments:106,;
calculate for	calculate:60,;
the totality	the:90,90,;
which involves	which:68,;
should be	should:46,93,95,46,93,95,;
key issue	key:70,70,;
formulation of	formulation:80,93,80,93,;
yet not	yet:59,59,;
scheme design	scheme:81,81,;
1 identifiable	1:109,109,;
problem be	problem:5,81,86,;
a separate	a:81,81,;
precision and	precision:93,102,104,106,93,102,104,106,;
space these	space:64,;
files first	files:73,;
than to	than:43,43,;
its major	its:52,52,;
collection be	collection:102,;
technical description	technical:83,83,;
requirement because	requirement:69,;
a certain	a:90,90,;
develop by	develop:108,108,;
computer ready	computer:4,4,;
interesting and	interesting:75,75,;
to estimate	to:80,80,;
a comparative	a:80,80,;
catalog into	catalog:87,87,;
manhy areas	manhy:110,;
in manhy	in:110,110,;
retrieval rates	retrieval:72,72,;
technique of	technique:19,90,108,108,;
of place	of:78,;
this is	this:70,;
solve some	solve:47,47,;
528 databases	528:92,;
label for	label:77,;
improve document	improve:60,;
to show	to:90,90,;
science social	science:49,;
any large	any:81,81,;
retrieve set	retrieve:84,;
system serve	system:90,;
be cumbersome	be:105,;
structure for	structure:97,97,;
with concept	with:90,;
refles be	refles:94,;
the parameters	the:80,;
of authors	of:91,109,109,109,109,109,;
topic already	topic:90,90,;
author groups	author:109,;
fact that	fact:112,112,;
section grouping	section:67,67,;
the extremely	the:110,110,;
develop the	develop:58,;
scientists served	scientists:90,;
it do	it:75,;
the objective	the:13,13,;
refles a	refles:94,94,;
are some	are:36,;
against type	against:106,;
user interface	user:83,83,;
retrieval stages	retrieval:77,;
paper the	paper:85,85,;
of normalizations	of:77,;
careful analysis	careful:97,97,;
combining cost	combining:89,;
in automate	in:57,;
than a	than:65,65,;
from interaction	from:100,100,;
the systems	the:106,;
to use	to:39,88,98,39,88,98,;
entry and	entry:57,;
were used	were:107,;
index system	index:29,34,;
level modular	level:85,85,;
automation can	automation:45,45,;
file these	file:73,;
processing form	processing:7,7,;
of english	of:77,77,;
descriptor file	descriptor:73,;
procedures are	procedures:73,;
connecting the	connecting:90,;
word from	word:67,;
connect the	connect:90,;
processor also	processor:101,;
models knowledge	models:85,;
procedure arises	procedure:112,;
the content	the:1,1,;
in term	in:44,59,69,73,79,94,104,69,;
to be	to:38,40,41,42,48,50,54,63,76,78,78,86,86,91,91,93,102,104,38,40,41,42,48,50,54,63,76,78,78,86,86,91,91,93,102,104,;
two selectors	two:72,;
query inefficiently	query:61,;
on three	on:104,104,;
returned in	returned:93,;
it be	it:42,50,62,64,65,66,69,88,90,91,91,95,99,105,106,109,;
significantly good	significantly:106,;
it still	it:48,48,;
the four	the:91,91,;
has brought	has:58,;
discuss for	discuss:90,;
the frequency	the:90,102,90,102,;
developed for	developed:13,;
dictionary has	dictionary:71,;
papers in	papers:90,90,91,91,;
are all	are:110,;
indexing theory	indexing:102,;
to ca	to:67,67,;
using probabilities	using:86,;
organization for	organization:65,65,;
it as	it:70,70,;
functions concerning	functions:81,;
automation offerings	automation:83,;
alphabetical ordering	alphabetical:41,41,;
serial publication	serial:109,;
this be	this:70,110,;
or replace	or:93,;
the period	the:109,109,;
groups 4	groups:109,;
hundred technical	hundred:44,44,;
many journal	many:44,;
proliferation of	proliferation:45,45,;
the form	the:47,47,;
closer the	closer:109,;
me about	me:48,;
retrieval systems	retrieval:5,27,33,43,50,55,81,90,97,97,98,98,99,100,100,100,106,;
what criteria	what:13,;
limitations or	limitations:40,;
concentrate on	concentrate:75,;
deduce as	deduce:80,;
some writers	some:70,;
definitions of	definitions:38,;
program has	program:67,;
searchers to	searchers:59,;
moreover we	moreover:96,96,;
record evaluation	record:97,97,;
determine the	determine:106,106,;
of technology	of:54,54,;
six pairs	six:91,;
toward solutions	toward:38,;
often such	often:90,90,;
its application	its:84,84,;
interpretation cocitation	interpretation:109,109,;
new journals	new:44,;
type studied	type:99,;
texts from	texts:36,;
presented and	presented:82,;
use many	use:68,;
of heterogeneity	of:98,98,;
elements the	elements:79,;
and improvement	and:93,;
dynamic to	dynamic:38,38,;
proximities of	proximities:109,;
method appear	method:93,;
conducted to	conducted:106,;
level allows	level:85,;
describe a	describe:73,83,73,;
probabilistic weighting	probabilistic:95,95,;
automated general	automated:32,;
libraries and	libraries:45,45,46,100,;
has research	has:50,;
how one	how:104,104,;
predict that	predict:66,;
this search	this:104,;
that information	that:106,106,;
combination within	combination:90,90,;
online services	online:89,;
refles in	refles:94,94,;
jobs are	jobs:110,;
further enhance	further:99,99,;
documents from	documents:68,;
regularly distributes	regularly:47,;
size of	size:93,93,;
rapidly and	rapidly:110,110,;
1960 through	1960:76,;
opver references	opver:72,;
models a	models:80,;
block a	block:47,;
this has	this:58,;
using weighting	using:93,;
were implemented	were:107,;
greater variety	greater:72,;
retrieval produced	retrieval:72,;
be grossly	be:89,;
be largely	be:101,;
is not	is:47,50,70,75,;
papers be	papers:60,;
trace they	trace:76,;
on applying	on:49,;
names believed	names:91,;
data base	data:84,85,105,84,85,105,108,;
than in	than:110,110,;
its associated	its:83,;
mechanized systems	mechanized:32,;
especially for	especially:99,99,;
papers an	papers:91,;
various information	various:101,101,;
refles is	refles:94,;
access to	access:70,70,98,70,70,98,;
papers by	papers:7,;
appear most	appear:50,;
in comprehending	in:36,42,;
only one	only:95,95,;
question answering	question:88,;
user a	user:99,;
and facilitate	and:69,81,;
records than	records:87,;
and technological	and:74,74,;
described is	described:83,;
user s	user:60,60,;
technique is	technique:67,84,;
involve in	involve:1,;
respectively for	respectively:72,72,;
or better	or:72,;
totality of	totality:90,90,;
an effect	an:54,;
described and	described:73,85,;
network wln	network:74,74,;
continuous weights	continuous:97,97,;
that paper	that:90,91,;
how to	how:62,88,62,88,;
file have	file:79,;
project s	project:108,108,108,108,;
program uses	program:67,;
a entire	a:75,;
have appear	have:96,;
organization to	organization:110,;
properties associated	properties:95,;
and retrieval	and:11,42,44,52,55,79,87,106,107,11,42,44,52,55,79,87,106,107,;
be change	be:110,;
this model	this:65,65,;
they worth	they:15,15,;
thesaurus for	thesaurus:69,69,;
share by	share:61,;
incorporate multiprogramming	incorporate:16,16,;
i would	i:46,46,;
ordinary researchers	ordinary:5,;
two spaces	two:64,64,;
comparisons only	comparisons:68,;
present then	present:73,;
are available	are:37,108,;
advantages include	advantages:82,;
database incorporate	database:107,;
retrieval tests	retrieval:104,107,;
using the	using:71,88,90,93,102,111,;
the rank	the:80,80,;
of meaning	of:36,;
technique be	technique:67,67,84,;
of material	of:41,47,76,41,47,;
material consider	material:41,;
support they	support:48,;
than that	than:72,;
themselves be	themselves:2,2,;
pertinent to	pertinent:82,82,;
collection are	collection:102,;
share an	share:90,;
new method	new:71,71,;
new technique	new:39,109,109,;
of medlars	of:52,55,52,55,;
translate compete	translate:36,;
different meaning	different:71,;
initial thesaurus	initial:69,69,;
computer be	computer:53,53,;
business university	business:48,;
it has	it:68,;
query have	query:60,;
the weighting	the:102,102,;
manipulability of	manipulability:62,62,;
of partial	of:73,73,;
therefrom various	therefrom:77,77,;
the experimental	the:87,99,87,99,;
users thus	users:98,;
sees rather	sees:75,;
obtain large	obtain:17,;
determines what	determines:75,;
people for	people:72,;
given document	given:112,;
catn s	catn:78,78,;
2 location	2:109,;
character of	character:62,62,;
transmission and	transmission:83,83,;
weighting theories	weighting:102,;
index systems	index:29,34,;
modes of	modes:89,;
assumes that	assumes:109,;
clinical records	clinical:53,;
catalog acquisition	catalog:46,;
a international	a:40,47,47,;
to other	to:70,;
the transformation	the:64,;
does medlars	does:55,;
described are	described:83,;
the process	the:69,93,108,69,93,108,;
issue for	issue:70,;
than on	than:59,59,;
determine what	determine:75,;
been applied	been:50,71,;
cite together	cite:109,;
communications control	communications:83,;
over and	over:68,68,;
users much	users:108,;
achieve this	achieve:41,;
concerns the	concerns:62,;
the program	the:67,67,67,67,67,67,;
and gerund	and:67,;
the parse	the:75,75,;
a functional	a:103,103,;
based on	based:46,56,63,65,65,71,77,84,85,96,97,99,101,102,102,108,;
advantage of	advantage:29,82,;
term ther	term:62,;
approach to	approach:82,85,99,82,85,99,;
a query	a:105,105,;
in make	in:1,;
data on	data:89,;
we case	we:57,;
any program	any:53,;
language as	language:88,;
difference measures	difference:86,;
in alphabetical	in:41,41,;
retrieval cost	retrieval:79,79,79,;
specific query	specific:60,;
be do	be:41,47,104,109,;
medicine how	medicine:52,52,;
solutions to	solutions:64,;
serial record	serial:46,;
compare with	compare:89,110,111,112,;
a grammar	a:78,78,;
selected examples	selected:85,;
practical method	practical:73,73,;
projects dealing	projects:35,;
each text	each:90,90,;
be list	be:37,37,;
include a	include:78,;
change enlarge	change:85,;
weight from	weight:97,;
the on	the:100,100,;
controlled language	controlled:51,;
section and	section:67,;
language probably	language:57,57,;
feature of	feature:63,106,;
the manipulability	the:62,62,;
of formulation	of:80,80,80,80,;
the possible	the:55,55,;
much close	much:110,;
analyzed in	analyzed:73,;
incorrect queries	incorrect:81,;
example should	example:46,;
that individuals	that:61,;
is simple	is:69,;
electronic filing	electronic:103,103,;
then introduced	then:95,102,;
counts drawn	counts:109,;
the total	the:80,80,80,80,;
rates were	rates:72,;
the national	the:52,69,52,69,;
future be	future:14,;
the lc	the:57,57,;
importance of	importance:45,62,45,62,;
decomposition of	decomposition:78,78,;
and medical	and:49,49,;
in many	in:85,85,;
such areas	such:46,;
specified manner	specified:90,;
system can	system:63,70,63,70,;
of work	of:97,97,;
program to	program:69,;
called invisible	called:90,;
progress have	progress:40,;
or office	or:66,66,;
include simplicity	include:82,82,;
operational for	operational:72,72,;
with highly	with:90,90,;
formally linked	formally:91,;
of word	of:37,37,;
both present	both:46,46,;
a useful	a:41,63,41,63,;
handle effectively	handle:79,79,;
distribution can	distribution:80,80,;
lack of	lack:85,85,;
text and	text:90,90,;
an in	an:63,;
machine coding	machine:43,43,;
future considerations	future:94,;
issue is	issue:70,;
the position	the:43,43,;
descriptive vocabularies	descriptive:37,;
and gerunds	and:67,;
to prepare	to:69,69,;
base producers	base:105,;
up to	up:38,38,;
that such	that:62,62,;
occurrence characteristics	occurrence:102,102,;
progress has	progress:40,;
mean in	mean:36,;
be dynamic	be:38,38,;
index word	index:38,;
for approximate	for:86,86,;
bibliographic data	bibliographic:87,108,;
mistake or	mistake:86,86,;
it use	it:75,;
and evaluated	and:63,;
authors who	authors:109,;
implementation of	implementation:65,98,103,103,65,98,103,103,;
frequency base	frequency:102,;
local metrical	local:93,93,;
we also	we:97,97,;
two groups	two:91,;
facility including	facility:87,;
discrimination abilities	discrimination:59,;
developed only	developed:70,;
inquirer searching	inquirer:61,;
development and	development:107,107,;
keywords results	keywords:107,;
against types	against:106,;
tool in	tool:41,41,;
as boolean	as:96,96,;
social science	social:49,;
other models	other:65,;
line to	line:80,80,;
current online	current:66,66,;
frequently had	frequently:91,;
discjussion of	discjussion:78,78,;
that users	that:99,;
and machine	and:19,43,19,43,;
even large	even:93,;
response may	response:98,;
be an	be:86,;
at cost	at:89,;
be as	be:59,;
as being	as:110,;
large utility	large:58,;
in which	in:43,48,62,65,73,90,90,91,91,111,43,48,62,65,73,90,90,91,91,111,;
machine use	machine:50,50,50,50,;
these relational	these:82,;
information scientist	information:90,100,;
systems if	systems:50,;
its use	its:94,94,;
paradigm use	paradigm:90,;
information request	information:2,;
be be	be:54,98,108,108,108,;
effectiveness the	effectiveness:105,105,;
all authors	all:90,;
tests were	tests:107,;
systems that	systems:97,;
advantage in	advantage:72,;
accept what	accept:42,;
lead toward	lead:58,;
then used	then:73,84,;
material considered	material:41,;
function of	function:54,54,;
databases were	databases:106,;
organization of	organization:82,82,;
the in	the:63,63,63,63,;
circumvents the	circumvents:59,;
be use	be:49,51,53,53,54,57,63,67,68,68,69,71,90,90,102,107,;
strategy on	strategy:59,;
the contents	the:71,71,;
systems is	systems:62,95,98,;
systems it	systems:100,;
direction for	direction:85,;
getting finished	getting:70,;
information which	information:106,106,;
publish on	publish:44,;
a and	a:90,90,90,90,;
for retrieval	for:96,96,;
at costs	at:89,;
systems in	systems:28,31,92,;
word variant	word:67,;
data we	data:60,;
systems or	systems:50,;
program of	program:53,;
success was	success:99,;
serving scientists	serving:90,;
specific advantage	specific:29,;
program for	program:76,;
invisible colleges	invisible:90,;
individuals construct	individuals:61,;
the false	the:72,72,;
systems of	systems:26,38,100,;
are lists	are:37,37,;
3000 000	3000:93,;
language elements	language:79,;
advanced system	advanced:101,;
of particular	of:37,37,;
of tests	of:84,;
contain 148	contain:92,92,;
are descriptors	are:51,;
to satisfy	to:97,97,;
person for	person:72,;
which be	which:57,81,90,93,103,106,106,108,109,111,111,;
be simple	be:69,;
and generality	and:85,85,;
altered easily	altered:69,;
intend to	intend:85,85,;
also proves	also:101,;
evolve more	evolve:66,;
improve and	improve:110,;
system the	system:62,79,83,101,62,79,83,;
program result	program:67,;
1978 collier	1978:89,89,;
group with	group:109,;
the librarians	the:54,;
major deficiency	major:95,95,;
falsely retrieved	falsely:72,;
centralization of	centralization:58,58,;
fact need	fact:78,;
